index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-11-06 12:30:45.043915272;0.0;1177;1177;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-11-06 12:35:12.049288273;0.0;1183;82;6
;id:000002,src:000000,op:flip1,pos:4,+cov;2019-11-06 12:35:12.061288357;0 days 00:00:00.012000;1187;1180;10
;id:000003,src:000000,op:flip1,pos:4,+cov;2019-11-06 12:35:12.069288254;0 days 00:00:00.019999;1188;1178;11
;id:000004,src:000000,op:flip1,pos:5,+cov;2019-11-06 12:35:12.073288202;0 days 00:00:00.023999;1192;1180;15
;id:000005,src:000000,op:flip1,pos:5,+cov;2019-11-06 12:35:12.077288151;0 days 00:00:00.027999;1193;1178;16
;id:000006,src:000000,op:flip1,pos:6,+cov;2019-11-06 12:35:12.081288099;0 days 00:00:00.031999;1195;1178;18
;id:000007,src:000000,op:flip1,pos:6,+cov;2019-11-06 12:35:12.089287996;0 days 00:00:00.039999;1197;1179;20
;id:000008,src:000000,op:flip1,pos:7,+cov;2019-11-06 12:35:12.093287945;0 days 00:00:00.043999;1203;1181;26
;id:000009,src:000000,op:flip1,pos:7,+cov;2019-11-06 12:35:12.097287893;0 days 00:00:00.047999;1204;1177;27
;id:000010,src:000000,op:flip1,pos:7,+cov;2019-11-06 12:35:12.101287842;0 days 00:00:00.051999;1205;1178;28
;id:000011,src:000000,op:flip1,pos:16,+cov;2019-11-06 12:35:12.133287668;0 days 00:00:00.083999;1209;1179;32
;id:000012,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:12.145287514;0 days 00:00:00.095999;1241;1176;64
;id:000013,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:12.149287462;0 days 00:00:00.099999;1257;1173;80
;id:000014,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:12.153287411;0 days 00:00:00.103999;1273;1181;96
;id:000015,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:12.157287359;0 days 00:00:00.107999;1286;1187;109
;id:000016,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:12.161287308;0 days 00:00:00.111999;1293;1179;116
;id:000017,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:12.165287256;0 days 00:00:00.115998;1299;1175;122
